Unnamed: 0,epoch_id,subject,property,prop_Lg10WF,sensorimotor_distance,response_time,veracity,relation,concepts_presented,glove_distance
1,88.0,modal7,rattle,2.238,0.1158881591,852.0,True,property,TYPEWRITERS,0.926
5,76.0,modal7,hazy,1.6232,0.3817210989,984.0,False,property,TURKEYS,1.0024
16,59.0,modal7,boom,3.0465,0.0256537086,560.0,True,property,LOUDSPEAKERS,0.9448
20,64.0,modal7,clink,1.8261,0.4520674353,644.0,True,property,FORKS,0.9932
21,63.0,modal7,jingle,2.4133,0.5032035382,996.0,True,property,COINS,0.8948
23,101.0,modal7,thunder,2.8325,0.1933185314,924.0,True,property,FREIGHT TRAINS,1.0
25,66.0,modal7,deafening,1.3617,0.2285516606,824.0,True,property,JETS,0.8887
27,82.0,modal7,moo,2.3444,0.5145450734,684.0,False,property,BEETLES,1.0877
31,81.0,modal7,moan,1.9868,0.2913542273,1036.0,False,property,AMBULANCES,1.0187
33,55.0,modal7,burp,1.8261,0.5949339169,1376.0,False,property,SPIDERS,0.9124
37,86.0,modal7,pop,2.3444,0.1651950947,1144.0,True,property,BALLOONS,0.8165
40,93.0,modal7,sing,3.6971,0.2920767318,1096.0,True,property,ROBINS,0.8538
42,57.0,modal7,ring,3.675,0.102785959,952.0,True,property,PHONES,0.676
49,73.0,modal7,giggle,1.9445,0.2139235752,944.0,False,property,BEARS,0.9939
54,103.0,modal7,white,3.9418,0.3282160889,708.0,False,property,MANDARINS,0.7703
56,96.0,modal7,sneeze,2.179,0.260743279,904.0,False,property,TRACTORS,1.002
61,52.0,modal7,abrasive,1.3802,0.4085376869,988.0,False,property,JUICES,0.9731
65,83.0,modal7,mucky,2.3444,0.1542654107,716.0,False,property,WRISTS,0.9773
68,97.0,modal7,splash,2.3345,0.3673819981,680.0,False,property,SANDWICHES,0.8512
70,91.0,modal7,sheer,2.3692,0.3674384015,812.0,False,property,TURNIPS,0.9683
74,89.0,modal7,rubbery,1.0,0.0879539926,1136.0,False,property,SHAWLS,0.7745
76,54.0,modal7,brown,2.3444,0.1509081993,1192.0,True,property,MONKEYS,0.8296
78,75.0,modal7,glow,2.4683,0.2213050951,904.0,False,property,RABBITS,0.8658
84,65.0,modal7,hard,4.1959,0.1346205152,1024.0,True,property,PANS,0.8292
88,61.0,modal7,cluck,1.8692,0.2421073847,684.0,False,property,COYOTES,0.9194
94,70.0,modal7,feverish,1.5315,0.2329047684,880.0,False,property,BOOKS,0.9801
102,78.0,modal7,laugh,3.5061,0.2689500527,1028.0,False,property,DONKEYS,0.8645
104,102.0,modal7,translucent,1.1461,0.1417720845,948.0,True,property,JELLYFISH,0.7029
106,180.0,modal7,gurgle,1.1139,0.2486086476,748.0,True,property,DRAINS,0.9447
107,162.0,modal7,click,2.5159,0.2324593438,660.0,True,property,SWITCHES,0.6396
109,196.0,modal7,sharp,3.0842,0.2274622934,588.0,False,property,RASPBERRIES,0.9687
111,166.0,modal7,dark,3.6551,0.0608927292,768.0,True,property,SUNGLASSES,1.0591
115,189.0,modal7,prick,2.8579,0.0629300275,652.0,True,property,THORNS,0.8973
118,177.0,modal7,gooey,1.6021,0.5705347478,668.0,False,property,PERFUMES,0.7928
120,199.0,modal7,smooth,2.9699,0.2361919775,920.0,True,property,CHROMES,0.8505
124,207.0,modal7,tender,2.6571,0.1020860966,1160.0,False,property,ICES,0.824
126,175.0,modal7,glossy,1.3979,0.0250662045,1284.0,True,property,PHOTOGRAPHS,0.6377
132,203.0,modal7,sparkle,1.9345,0.4323902406,796.0,False,property,PEARS,0.8441
135,186.0,modal7,orange,3.0565,0.2884357523,932.0,False,property,OTTERS,0.9856
147,160.0,modal7,clammy,1.4914,0.0715526544,996.0,False,property,SILKS,0.9144
149,191.0,modal7,red,3.8781,0.29731188,1224.0,False,property,LAMBS,0.796
153,197.0,modal7,shout,2.9243,0.3660026262,1296.0,False,property,GUITARS,0.83
155,194.0,modal7,shadowy,1.9395,0.0963642591,844.0,True,property,TUNNELS,0.9184
157,181.0,modal7,humid,1.6628,0.2221172964,748.0,True,property,BATHROOMS,0.9182
159,200.0,modal7,sticky,2.4669,0.1633223303,708.0,True,property,GLUES,0.5763
161,157.0,modal7,blather,1.1761,0.6252931958,800.0,False,property,BRACELETS,1.0375
163,179.0,modal7,growl,1.7076,0.4357007878,744.0,False,property,FOOTBALLS,1.0659
167,178.0,modal7,greasy,2.301,0.1129126802,848.0,False,property,PEAS,0.8653
169,212.0,modal7,wheeze,1.4771,0.5347935923,720.0,False,property,SALMON,1.1355
171,206.0,modal7,striped,1.9445,0.1226752112,848.0,True,property,ZEBRAS,0.5413
173,185.0,modal7,opaque,0.8451,0.0181378775,1152.0,False,property,HEADLIGHTS,0.8097
176,174.0,modal7,humid,1.6628,0.2819976592,1716.0,True,property,JUNGLES,0.7813
179,193.0,modal7,scream,3.1297,0.6494390012,1272.0,False,property,SHOVELS,0.8526
181,211.0,modal7,wail,1.6532,0.475615807,908.0,False,property,SALAMANDERS,1.0605
183,168.0,modal7,dim,2.3874,0.3775780916,740.0,False,property,LEMONS,1.0045
187,176.0,modal7,golden,3.0748,0.4307879605,796.0,False,property,COFFEES,0.8205
191,188.0,modal7,pink,3.1623,0.4051362511,816.0,False,property,BANANAS,0.7171
193,204.0,modal7,square,3.2098,0.0257984994,816.0,False,property,CIRCLES,0.5918
197,159.0,modal7,chime,1.6812,0.1698637163,888.0,False,property,DISHWASHERS,0.9455
203,172.0,modal7,fluffy,2.3444,0.1017381685,808.0,False,property,SURFBOARDS,0.8811
205,201.0,modal7,soggy,1.7076,0.120290593,1056.0,False,property,ENAMELS,0.8754
207,161.0,modal7,clank,1.2304,0.2702886305,924.0,True,property,CHAINS,1.0161
209,198.0,modal7,slippery,2.3541,0.2542840823,1352.0,True,property,OILS,0.8982
211,208.0,modal7,syrupy,0.4771,0.029689096,1076.0,True,property,HONEYS,0.7289
216,290.0,modal7,beep,2.5224,0.3414503949,652.0,True,property,MICROWAVES,0.7615
217,291.0,modal7,icy,2.1335,0.075706119,840.0,True,property,LAKES,0.7047
221,316.0,modal7,turquoise,1.6628,0.4234654744,764.0,False,property,CHEESES,0.9188
223,308.0,modal7,sneezing,1.7559,0.4110954025,832.0,False,property,HAYS,0.8934
225,307.0,modal7,slick,2.5453,0.1256341482,828.0,True,property,GREASES,0.7081
231,278.0,modal7,flaky,1.6628,0.2564607714,668.0,False,property,YOGURTS,0.7419
233,298.0,modal7,pliant,2.3444,0.2985910922,972.0,False,property,POETRIES,1.0594
235,266.0,modal7,beam,2.6493,0.0902686672,756.0,True,property,FLASHLIGHTS,0.5535
243,270.0,modal7,brittle,1.8573,0.1813226836,724.0,False,property,GOLDFISH,0.939
246,295.0,modal7,stiff,2.7193,0.0953771243,960.0,True,property,SCREWDRIVERS,0.8747
250,297.0,modal7,oink,2.3444,0.4917346373,776.0,False,property,PONIES,0.9433
252,267.0,modal7,belch,1.5798,0.4108640844,808.0,False,property,VACUUM CLEANERS,1.0
254,306.0,modal7,silver,3.2095,0.1763600335,1316.0,True,property,SPOONS,0.7795
257,318.0,modal7,woolly,1.3979,0.1562542026,756.0,False,property,HAILS,0.9857
